prediction	reference
hja frege him om har hannen tusken sines op te waarmjen	Hja frege him om har hannen tusken sines op te waarmjen.
pergulas binne in idiaal hâdfest foal klim planten	Pergola's binne in ideaal hâldfêst foar klimplanten.
ik rin nei myn âlde piano en druk op ien fan de wite tûetsen	Ik rin nei myn âlde piano en druk op ien fan 'e wite toetsen.
de arbeiders steane yn e pún mei triljende en gromjende boaren wikhammers en brekizers	De arbeiders steane yn it pún mei triljende en gromjende boaren, pikhammers en brekizers.
se ha hantekeningen sammele om in ferzyk foar in riverindum te dwaan	Sy ha hantekeningen sammele om in fersyk foar in referindum te dwaan.
at him it grut gemak ingels praat nim ik him oan	As er mei grut gemak Ingelsk praat, nim ik him oan.
dit sukses wol e pear dûns hiele wedstrydsteisoen in soad prizen byinoar	Dit suksesfolle pear dûnse it hiele wedstriidseizoen in soad prizen byinoar.
dat is fan minder belang	Dat is fan minder belang.
o waait de wyn út dy hoeke	O, waait de wyn út dy hoeke.
sylvia waard de sneintenachts mei hertklachten opnommen yn it sikehûs	Sylvia waard de sneintenachts mei hertklachten opnommen yn it sikehús.
nei in wike lit se my triam famtlik it resultaat sjien	Nei in wike liet se my triomfantlik it resultaat sjen.
trije leden fan dy wurkgroep binne diplomearre moolder	Trije leden fan dy wurkgroep binne diplomearre moolder.
dit is in hoppe	Dit is in hoppe.
tsjerkhôf	Tsjerkhôf.
yn kammingabuorren yn ljouwert is in hierdest belange ferieniging yn oprjochting	Yn Kammingabuorren yn Ljouwert is in hierdersbelangeferieniging yn oprjochting.
de bestjoerder kaam mei de skrik frij	De bestjoerder kaam mei de skrik frij.
ik sjoch wol	Ik sjoch wol.
oer oantallen slachtoffers is noch neat bekend	Oer oantallen slachtoffers is noch neat bekend.
hy die mei oan in fersetsaksje en foel yn hannen fan de polysje	Hy die mei oan in fersetsaksje en foel yn hannen fan de polysje.
ik hâld fan bisten en de natuer	Ik hâld fan bisten en de natuer.
de bewenners krije fjouwer wiken de tiid om in nij ûnderkommen te sykjen ss	De bewenners krije fjouwer wiken de tiid om in nij ûnderkommen te sykjen.
us mem fûn de namme fan ús famke net drekst heel moai	Us mem fûn de namme fan ús famke net drekst heel moai.
de dokter wol dat wybe noch fjirtjin dagen rêstnimt	De dokter wol dat Wybe noch fjirtjin dagen rêst nimt.
us mem fûn de namme fan ús famke net drekst heel moai	Us mem fûn de namme fan ús famke net drekst heel moai.
jo kinne by hart rjochte foar in wiidweidige gesichtsbehanneling	Jo kinne by har terjochte foar in wiidweidige gesichtsbehanneling.
lit de nije mail oer de hier sjen	Lit de nije mail oer de hier sjen.
de dokter wol dat wybe noch fjirtjin dagen rêst nimt	De dokter wol dat Wybe noch fjirtjin dagen rêst nimt.
	Oan de ein fan it stik wurdt dúdlik wêrom de soan syn mem hatet.
de bêrzjekleur is it bêste omskriuwen as reammekleurich mei in grizich waas	De bêzje kleur is it bêst te omskriuwen as rjemmekleurich mei in grizich waas.
wy sille jo jûn in iepenljochtspulhearre litte	Wy sille jo jûn in iepenloftspul hearre litte.
meitsje dat fet	Meitsje dat fet.
wy koenen dan maatregels nimme oft se dat woenen	Dy koenen dan maatregels nimme at se dat woenen.
us systeem fan regels en sanksjes is trochsichtich foar ús learlingen	Us systeem fan regels en sanksjes is trochsichtich foar ús learlingen.
drok op e baan de reedriders twirje trochinoar	It is drok op 'e baan, de reedriders twirje trochinoar.
de manlju wurde fertocht fan dielnimming oan in kriminele organisaasje	De manlju wurde fertocht fan dielnimming oan in kriminele organisaasje.
libbet sil nea stjerre	Al wat libbet, sil nea stjerre.
it wie de tongersdeitemoarns nei keningsdei ien en al aktiviteit yn de binnenstêd	It wie de tongersdeitemoarns nei Keningsdei ien en al aktiviteit yn de binnenstêd.
ihat in biologyske klok mei in deilingte fan persys fjouwerentweintich oeren	Nimmen hat in biologyske klok mei in deilingte fan persiis fjouwerentweintich oeren.
yn de nacht fan woansdei op tongersdei binne de erbarks stelden út fyftich autos	Yn de nacht fan woansdei op tongersdei binne de airbags stellen út fyftich auto's.
it slachtoffer waard op syn fyts oanriden troch in auto	It slachtoffer waard op syn fyts oanriden troch in auto.
dy felle kleuren dogge jo sear oan de eagen	Dy felle kleuren dogge jin sear oan 'e eagen.
wy geane de goede kant op mar ferskate saken kinne noch better	Wy geane de goede kant op, mar ferskate saken kinne noch better.
kinne wy hjir oant tiisdei blauwe	Kinne wy hjir oant tiisdei bliuwe?
hy rint deromhinne as in kot om de hitebrij	Hy rint deromhinne rinne as de kat om de hjitte brij.
hoet it ûngelok barre koe is net dúdlik	Hoe't it ûngelok barre koe, is net dúdlik.
it filmsenario skriuwt de filmspilers fan minút ta minút foar wat se dwaan moatte	It filmsenario skriuwt de filmspilers fan minút ta minút foar wat se dwaan moatte.
dit in tongerstelling is te sjen fan njoggentjin oktober oant en mei trettjin desimber n	De tentoanstelling is te sjen fan njoggentjin oktober oant en mei trettjin desimber.
ik kierje in protte en rûn út en troch oan by syn mem	Ik kuiere in protte en rûn út en troch oan by syn mem.
ik kin sneon de hiele dei	Ik kin saterdei de hiele dei.
de regeling sil benammen jilde foar eanstige gefallen	De regeling sil benammen jilde foar earnstige gefallen.
in tekoart oan ottermantsjes kin oplost wurde troch bettere natuerferbiningen mei dútslein	It tekoart oan ottermantsjes kin oplost wurde troch bettere natuerferbiningen mei Dútslân.
wêrom is dyn kompjûter ynienen sa traach	Wêrom is dyn kompjûter ynienen sa traach?
der is ûndersyk dien nei de winsken fan toeristen dyt nei de ôfslútdyk komme	Der is ûndersyk dien nei de winsken fan toeristen dy't nei de Ofslútdyk komme.
lotgenoaten hawwe mar in heal wurd nedich om dy te begripen	Lotgenoaten hawwe mar in heal wurd nedich om dy te begripen.
ik krige goed te iten en in waarme tekken	Ik krige goed te iten en in waarme tekken.
trije leden fan dy wurkgroep binne diplomearre moolner	Trije leden fan dy wurkgroep binne diplomearre moolner.
dy generaasje is yntusken útstoarn	Dy generaasje is yntusken útstoarn.
jim hawwe it griwvel yn de krante sjoen	Jimme hawwe it grif al yn de krante sjoen.
it is ús doel om betiid fuoart te gean	It is ús doel om betiid fuort te gean.
de apdei is fierstente grut foarnjogge muontsen dêrnoch sitte	De abdij is fierstente grut foar de njoggen muontsen dy't der noch sitte.
wat waait it hjir al gryslik hurd net	Wat waait it hjir ôfgryslike hurd, net?
om it hûs wie in djippe sleat	Om it hûs wie in djippe sleat.
soercol is lang hâldbar sûnder dat der in kuorservearringsmiddel oan te pas komt	Soerkoal is lang hâldber sonder dat der in konservearringsmiddel oan te pas komt.
dyn eks hat ek al wer wat oan it hantsje	Dyn eks hat ek al wer wat oan 't hantsje.
de natoer in hantsje help is hieltyd gewoaner wurden	De natuer in hantsje helpe is hieltyd gewoaner wurden.
hja hat sels weromskreaun minstal lit se dat troch har ampestwaan	Hja hat sels weromskreaun, meastal lit se dat troch har amtners dwaan.
wat moatte wy hjir no mei	Wat moatte wy hjir no mei?
it frysk moat fansels hoe waar buorge wurde	It Frysk moat fansels wol waarboarge wurde.
hawwe jo in bôleplankje foar ús	Hawwe jo in bôleplankje foar ús?
foar moarn hawwe wy ús opjûn om te hynstte riden op it strân	Foar moarn hawwe wy ús opjûn om te hynsteriden op it strân.
wêr moat it my dy hinne	Wêr moat it mei dy hinne?
dit merk stiet foar orrizjinele eksklusive famkesklean	Dit merk stiet foar orizjinele, eksklusive famkesklean.
it spul kin binnen en bûtendoar spile wurde en is middei folgjend	It spul kin binnen- en bûtendoar spile wurde en is middeifoljend.
de jongerein giet op hieltyd âldere leeftiid út e hûs	De jongerein giet op hieltyd âldere leeftiid út 'e hûs.
	De moarnssesje begjint om healwei alven.
hoe faak deis draaie jo de kraan net iepen	Hoe faak deis draaie jo de kraan net iepen?
de aksjegroep is poer en begrypt der neat fan	De aksjegroep is poer en begrypt der neat fan.
wytljocht hú ún	Wyt ljocht bestiet út kleuren dy't foar ús net te sjen binne.
al sparjende moet men jin wol sêd ite	Al sparjende moet men jin wol sêd ite.
moarntenacht reizge wy ôf nei it grykse eilân kreeta	Moarntenacht reizgje wy ôf nei it Grykske eilân Kreta.
wa soarget foar jo en de poppe	Wa soarget foar jo en de poppe?
der siet in laachje ryp op e fyts dyt tsjin de gevel stie	Der siet in laachje ryp op 'e fyts dy't tsjin de gevel stie.
nei de lêste toanen wurdt wachte op it aplaus	Nei de lêste toanen wurdt wachte op it applaus.
it swit rûn him oer de wangen en de rêch	It swit rûn him oer de wangen en de rêch.
it is al ien kear bard dat er mar ien besiker wie	It is al in kear bard dat der mar ien besiker wie.
moat ik de heit fan de breid om de hân fan syn dochter freegje	Moat ik de heit fan de breid om de hân fan syn dochter freegje?
de grutte troef fan antwerpen is in histoarysk hart op rinôfstân	De grutte troef fan Antwerpen is in histoarysk hart op rinôfstân.
ik bin warch ik wol no graach efkes allinne wêze	Ik bin warch, ik wol no graach efkes allinne wêze.
wy sieten mei in swierrichheid en wy hawwe dêr in persoanlike oplossing foar keazen	Wy sieten mei in swierrichheid, en wy hawwe dêr in persoanlike oplossing foar keazen.
de grutste drokte wurdt ferwachte op freedtejûn en saterdeitemoarn	De grutste drokte wurdt ferwachte op freedtejûn en saterdeitemoarn.
dy wie seis jier en dan binne je o sa gefoelich foar dy dingen	Dy wie seis jier en dan binne je o sa gefoelich foar dy dingen.
myn namme is hopkens	Myn namme is Hopkins.
de kaaien binne sneontenacht diels ûnderstrûpt troch it hege wetter en de hurde wyn	De kaaien binne sneontenacht diels ûnderstrûpt troch it hege wetter en de hurde wyn.
by in oarder fan mear as fyftich euro betelje jo gjin ferstjoerkosten	By in oarder fan mear as fyftich euro betelje jo gjin ferstjoerskosten.
at jo it formulier ferstjoerd hawwe krije jo in aktivearringslink	At jo it formulier ferstjoerd hawwe, krijge jo in aktivearringslink.
it is better dat men ris ôfwiisd wurdt as dat men gjin ûnderfining opdocht	It is better dat men ris ôfwiisd wurdt as dat men gjin ûnderfining opdocht.
stel ôfdrukgebiet yn op de earste fjirtjin	Stel ôfdrukgebiet yn op de earste fjirtjin.
better in goede buorman as in fiere freon	Better in goede buorman as in fiere freon.
de hierkleur stiet by de berte noch net fêst	De hierkleur stiet by de berte noch net fêst.
hurde wurden binne dat en sa wie ik doe ek	Hurde wurden binne dat, en sa wie ik doe ek.
ik liet myn tinzen en myn ferbylding harren gong gean	Ik liet myn tinzen en myn ferbylding harren gong gean.
al wat yn dit doarp wurket hat in hûs	Al wa't yn dit doarp wurket, hat in hûs.
dêr is it lêste wurd noch net oer sein	Dêr is it lêste wurd noch net oer sein.
it programma wie fan twa oere oant kertier foar fjouweren	It programma wie fan twa oere oant kertier foar fjouweren.
sokke snij blommen steane net lang	Sokke snijblommen steane net lang.
dêr kinne we sa net komme dan ha je in boat syn nedich	Dêr kinne we sa net komme, dan ha je in boatsje nedich.
de direksje fan e bank wie net berikber foarkommintaar	De direksje fan 'e bank wie net berikber foar kommentaar.
de tydlike skoalle waard freed ynrjochte mei help fan san tritich âlden	De tydlike skoalle waard freed ynrjochte mei help fan sa'n tritich âlden.
dy wolle de hotelkosten net betelje	Dy wolle de hotelkosten net betelje.
elk foarwerp draacht de spoaren fan syn broeker	Elk foarwerp draacht de spoaren fan syn brûker.
wy pleatse dûbelde  wasktafels om de badkeamerfilers moarns koarter te meitsjen	Wy pleatse dûbelde wasktafels om de badkeamerfiles moarns koarter te meitsjen.
under it lakke slûke en glêde dekhier wat it sêfte ûnderhier	Under it lange, slûke en glêde dekhier leit it sêfte ûnderhier.
sjong in feske foar my	Sjong in ferske foar my.
de kwaliteit fan de soarch kin net garandearre wurde	De kwaliteit fan de soarch kin net garandearre wurde.
as se in swiper sjogge en fierle no dan binne se net sa lekker	At se in swipe sjogge en fiele no dan binne se net sa lekker.
it skip is wer yn de fear	It skip is wer yn 'e feart.
wat kostet in keamer meibalkon	Wat kostet in keamer mei balkon?
dat sil wol betterje ast in hâld wiif bist	Dat sil wol betterje earst in âld wiif bist.
doelberet skjinmeitsje	Doelberet skjinmeitsje.
der binne ek foarskriften dêrt hannelers oan foldwaan moatte	Der binne ek foarskriften dêr't hannelers oan foldwaan moatte.
de auteurs stribje folsleinens nei sonder yn oerstallige details te ferfallen	De auteurs stribje folsleinens nei sonder yn oerstallige details te ferfallen.
juster gie it personiel wer oan it wurk nei trije wiken bedriuwsbesetting	Juster gie it personiel wer oan it wurk nei trije wiken bedriuwsbesetting.
de brune râld kin ek yn rioalen libje	De brune rôt kin ek yn rioelen libje.
sil ik frysk kieze	Sil ik Frysk kieze?
dy boeren binne der o sa wiis mei	Dy boeren binne der o sa wiis mei.
klik bewarje as	Klik Bewarje as.
dat kin oant ien en tweintich juny ta	Dat kin oant ien en tweintich juny ta.
heal febrewaris is de bêste tiid om de skea yn kaart te bringen	Heal febrewaris is de bêste tiid om de skea yn kaart te bringen.
ik haw hjir de heale nacht op teusitter te wachtsjen	Ik ha hjir de heale nacht op dy sitten te wachtsjen.
ik wit net oft hja wol komt	Ik wit net oft hja wol komt.
wy hienen fyftich drintske skiep	We hienen fyftich Drintske skiep.
it siigt yn dizze wenningen en de isulearring is hielendal ûnfoldwaande	It siicht yn dizze wenningen en de isolearring is hielendal ûnfoldwaande.
dizze túnstoel kin ek levere wurde yn it wyt en it brún	Dizze túnstoel kin ek levere wurde yn it wyt en it brún.
ik soe dêr grif net mei ynstimd hawwe as se my dat frege hienen	Ik soe der grif net mei ynstimd hawwe as se my dat frege hiene.
ik ha mar ien besteld dy sillek tiisdeitemoarn oer in wike ophelje	Ik haw mar ien besteld, dy sil ik tiisdeitemoarn oer in wike ophelje.
de fakbûnen hawwe de efterboan ynformearre oer it lêste oanbod fan de wurkjouwers	De fakbûnen hawwe de efterbân ynformearre oer it lêste oanbod fan de wurkjouwers.
hja hawwe in hiel tean bern	Hja hawwe in hiel team bern.
de iene seit sus in oare seit sa	De iene seit sus en de oare seit sa.
alle spylers hawwe har bêst dien	Alle spilers hawwe har bêst dien.
ik ha der gjin beswier tsjin	Ik ha der gjin beswier tsjin.
der binne fjouwer ferieningen yn fryslân	Der binne fjouwer ferieningen yn Fryslân.
belje wytse	Belje Wytse.
wat is dat dochs	Wat is dat dochs?
op it hichtepunt fan de foarstelling swiere der tritich dûnsers oer it iis	Op it hichtepunt fan de foarstelling swiere der tritich dûnsers oer it iis.
troch de fakânsjeperioade is it relatyf rêstich op e dyk	Troch de fakânsjeperioade is it relatyf rêstich op 'e dyk.
sy is ienen tachtich jier en de âldste aktive wedstriiddamster yn fryslân	Sy is ien en tachtich jier en de âldste aktive wedstriiddamster yn Fryslân.
wat boete jo sa oanlêzen	Wat boeit jo sa oan lêzen?
oer in pear wiken begjinne de earste merken wer	Oer in pear wike begjinne de earste merken wer.
iepenje de pearse gerdinen foar de helte	Iepenje de pearse gerdinen foar de helte.
syn fleammasinen lâne om tsienen oer tsienen	Syn fleanmasine lâne om tsien oer tsienen.
dêr sakket it wetter de boaiem yn en wurdeit op natuerlike wize filtere	Dêr sakket it wetter de boaiem yn en wurdt it op natuerlike wize filtere.
foar en tsjinstanners reagearje fûel op de buoikat	Foar- en tsjinstanners reagearje fûl op de boykot.
dat hoechde ik syn ôge jonge nohi net oan e noas te hingjen	Dat hoegde ik syn eigen jonge no net oan de noas te hingjen.
it is ferskuorren bopp myn budzjet mar tsjin kostet neat en dreame ek net	It is ferskuorrend boppe myn budzjet, mar sjen kostet neat en dreame ek net.
frentsje is ús âld akademysstêd	Frjentsjer is ús âld akadeemjestêd.
as der ien skiep oer de daam is komme der mear	As der ien skiep oer de daam is, komme der mear.
ien fan e hinnen sit al in pear dagen te brieden	Ien fan 'e hinnen sit al in pear dagen te brieden.
alle bern binne wolris oan doges	Alle bern binne wolris ûndogens.
kanaal omleech	Kanaal omleech.
hy is al in pear dagen net op skalle kaam	Hy is al in pear dagen net op skoalle kaam.
der is in soad ôfwikseling yn de bewegingen dyt makke wurde	Der is in soad ôfwikseling yn de bewegingen dy't makke wurde.
foar de jongerein is der de freedtejûnzen optreden fan in popgroep	Foar de jongerein is der de freedtejûns in optreden fan in popgroep.
in bedriuwsgebou yn ljouwert is woansdeitemiddei troffen troch in útslaande brân ss	In bedriuwsgebou yn Ljouwert is woansdeitemiddei troffen troch in útslaande brân.
begjin dizze moanne waard bekend hoe bysûnder as it grynreade skaaltsjeeins is	Begjin dizze moanne waard bekend hoe bysûnder as it grien-reade skaaltsje eins is.
de toanielferiening koe in moai bedrach fan tsientûzent euro yn de boeken opskriuwe	De toanielferiening koe it moaie bedrach fan tsientûzen euro yn de boeken opskriuwe.
let myn belskiednis sjen	Lit myn belskiednis sjen.
mûs dûbel klikke	Mûs dûbelklikke.
in soad tiid hawwe jo dochs net mear	In soad tiid hawwe jo dochs net mear.
wiskje leaste wurd	Wiskje lêste wurd.
meidwaan yn e tocht kin allinnich nei ynskriuwing foarôf	Meidwaan oan 'e tocht kin allinnich nei ynskriuwing foarôf.
de measte biblioteken organisearre spesjale middeis dêrt op foarlêzen wurdt	De measte biblioteken organisearje spesjale middeis dêr't op foarlêzen wurdt.
