prediction	reference
se litte de bern foar wjyld om rinne	Sy litte de bern foar wyld omrinne.
de swipe dêr binne sal in bytsje bang fan	De swipe, dêr binne se al in bytsje bang fan.
klik op ôfbylding	Klik op ôfbylding.
dêr wol ik ek graach in in plaus foar	Dêr wol ik ek graach in applaus foar.
set it finster werom	Set it finster werom.
binne jo net bang dat jo de ûn ferdraachseumens yn e hân wurkje sille	Binne jo net bang dat jo de ûnferdraachsumens yn 'e hân wurkje sille?
hja ferdwûn sonder foarm fan proses yn de finzenis	Hja ferdwûn sûnder foarm fan proses yn de finzenis.
oan de ein fan it stik wurdt dúdlik wêrom de soan syn mem hatet	Oan de ein fan it stik wurdt dúdlik wêrom de soan syn mem hatet.
ik haw oer twa jier myn diploma frysk	Ik ha oer twa jier myn diploma Frysk.
it filmsen ario skriuwt de filmspilers fan minút ta minút foar wat se dwaan moatte	It filmsenario skriuwt de filmspilers fan minút ta minút foar wat se dwaan moatte.
de wurken wurde safolle as mooglik stoffrij opburgen yn argiiftoezen	De wurken wurde safolle as mooglik stoffrij opburgen yn argyfdoazen.
ik bin syn adres kwiit mar ik wit dat er hjir iene wanje moat	Ik bin syn adres kwyt, mar ik wit dat er hjirearne wenje moat.
lit de nije maiel oer de hier sjen	Lit de nije mail oer de hier sjen.
oo waait de wyn út tiehoeken	O, waait de wyn út dy hoeke.
hoefolle wetter kin it gers op de dyk hoan	Hoefolle wetter kin it gers op de dyk oan?
yn e nacht fan woansdei op tongersdei binne de erbaksstellen út fyftich autos	Yn de nacht fan woansdei op tongersdei binne de airbags stellen út fyftich auto's.
hy is nei it sikehûs brocht mar hy is bûten libbensgefaar	Hy is nei it sikehûs brocht mar hy is bûten libbensgefaar.
de regeling sil benammen jilde foar jeastige gefallen	De regeling sil benammen jilde foar earnstige gefallen.
dan sjocht leaver in oare kant út	Dan sjoch ik leaver in oare kant út.
undernimmers biede in pear hûndert hantekeningen oan oan de wethâlder	Undernimmers biede in pear hûndert hantekeningen oan oan de wethâlder.
it wie de tongersdeitemoarns nei  keningsdei ien en al aktiviteit yn de binnenstêd	It wie de tongersdeitemoarns nei Keningsdei ien en al aktiviteit yn de binnenstêd.
dy koenenden maatregels nimme as se dat woenen o	Dy koenen dan maatregels nimme at se dat woenen.
de auteurs stribje folsleinen snij sonder yn oerstallige dekteiste ferfallen	De auteurs stribje folsleinens nei sonder yn oerstallige details te ferfallen.
it ûnderwiis hat ferlet fan de onleine wurdlist mei staveringshifker en it omleine wurdboek	It ûnderwiis hat ferlet fan de online wurdlist mei staveringshifker en it online wurdboek.
wêr is de trep	Wêr is de trep?
we hien in fyftich drintske skeap	We hienen fyftich Drintske skiep.
wa bin ik om te tinken dat ik de ienige bin dyt it wit	Wa bin ik om te tinken dat ik de ienige bin dy't it wit.
op it hichtepunt fan de foarstelling swiere de tritich dûnsers oer it iis	Op it hichtepunt fan de foarstelling swiere der tritich dûnsers oer it iis.
stille wetters hawwe it djippe grûnen	Stille wetters hawwe djippe grûnen.
dit suksesfolle pear dûns it hiele wedstriidsje soen in soad prizen byinoar	Dit suksesfolle pear dûnse it hiele wedstriidseizoen in soad prizen byinoar.
de bêzjekleur is it bêst te omskriuwen as riëmekleurich mei in grizich baas	De bêzje kleur is it bêst te omskriuwen as rjemmekleurich mei in grizich waas.
de manlju wurdt fertocht fan dielnimming oan in kriminele organisaasje	De manlju wurde fertocht fan dielnimming oan in kriminele organisaasje.
hy gie fuortdaliks yn berop en dêrnei sil er yn kassaasje gean	Hy gie fuortdaliks yn berop en dêrnei sil er yn kassaasje gean.
om it hûs wie in djippe sleat	Om it hûs wie in djippe sleat.
hja libbe yn in oare wrâld regearre troch erchtinken eanst en haart	Hja libbe yn in oare wrâld, regearre troch erchtinken, eangst en haat.
dy wie seis hjier en dan binne je o sa gefoelich foar dy dingen	Dy wie seis jier en dan binne je o sa gefoelich foar dy dingen.
ik hjit fan hink	Ik hjit fan Henk.
se ha it makliker krigen	Se ha it makliker krigen.
de brune râld kin ik yn reoelen libje	De brune rôt kin ek yn rioelen libje.
it slachtoffer waard op syn fyts oanriden troch in auto	It slachtoffer waard op syn fyts oanriden troch in auto.
ik krige goed te iten en waarme tekken	Ik krige goed te iten en in waarme tekken.
it tekoarte oan ottermantsjes kin oplost wurde troch bettere natuerferbiningen mei dútslân	It tekoart oan ottermantsjes kin oplost wurde troch bettere natuerferbiningen mei Dútslân.
lit ús earst begjinne mei dy muzykskoallen	Lit ús earst begjinne mei dy muzykskoallen.
dêr stie ik dan yn myn wite nachtklean en op blead om fuotten	Dêr stie ik dan yn myn wite nachtklean en op bleate fuotten.
klik bewarje as	Klik Bewarje as.
wat waait it hjir ôfgrúslik hurd net	Wat waait it hjir ôfgryslike hurd, net?
jim hawwe it grich wol yn e krantte sjoen	Jimme hawwe it grif al yn de krante sjoen.
hoe let komt de sinne op yn parys	Hoe let komt de sinne op yn Parys?
hy lakket de wite toskenblead	Hy laket de wite tosken bleat.
wer rinne koedibber manpar earre	Better in goede buorman as in fiere freon.
ik hâld fan bisten en de natoer	Ik hâld fan bisten en de natuer.
it is de bedoeling dat yn e takomst it ôfnbod oan aktiviteiten útwreide wurdt	It is de bedoeling dat yn 'e takomst it oanbod oan aktiviteiten útwreide wurdt.
dy boeren binne dêr o sa wiis mei eee	Dy boeren binne der o sa wiis mei.
ik ken dy hiele man net	Ik ken dy hiele man net.
dy felle kleuren dogge jin sear oan de eagen lllluu	Dy felle kleuren dogge jin sear oan 'e eagen.
ien fan de hinnen sit al in pear dagen te brieden	Ien fan 'e hinnen sit al in pear dagen te brieden.
de inisjatyf nimmers fan it referinden binne tsjin de bou fan myn mûnen	De inisjatyfnimmers fan it referindum binne tsjin de bou fan de wynmûnen.
fakânsjegongers kieze bewust foar lúkse	Fakânsjegongers kieze bewust foar lúkse.
der siet in laagie ryp op e fyts dyt tsjin de gevel stie	Der siet in laachje ryp op 'e fyts dy't tsjin de gevel stie.
	Wat boeit jo sa oan lêzen?
syn frou wie al dea dy hie it oan it hert krigen	Syn frou wie al dea, dy hie it oan it hert krigen.
it is better dat men ris ôfdiielst wurdt as dat men gjin ûnderfining opdocht	It is better dat men ris ôfwiisd wurdt as dat men gjin ûnderfining opdocht.
ei in wike liete se my triomvantlik it resultaat sjen	Nei in wike liet se my triomfantlik it resultaat sjen.
ik fiel my net hielendal hûndert prosint jûn	Ik fiel my net hielendal hûndert persint jûn.
wy moatte de wurklikheid ûnder eagen doarre te sjen	Wy moatte de werklikheid ûnder eagen doare te sjen.
witte jo wat dy tekst yn hâldt	Witte jo wat dy tekst ynhâldt?
wy hawwe hjoed in nije leadder kocht	Wy hawwe hjoed in nije ljedder kocht.
o wat libbet sil nea stjerre   o	Al wat libbet, sil nea stjerre.
it wie moai waar	It wie moai waar.
oer san ding fan meat hoechst net se in opskuor te meitsjen	Oer sa'n ding fan neat hoechst net sa'n opskuor te meitsjen.
sykje jo om in oplossing dyt klear is om te brûken	Sykje jo om in oplossing dy't klear is om te brûken?
de fjilden lizze oan de kym ta ûnder de snie	De fjilden lizze oan 'e kym ta ûnder de snie.
de kwaliteit fan de soarch kin net garandearre wurde i	De kwaliteit fan de soarch kin net garandearre wurde.
de tentogerstelling is te sjen fan njoggen tsjin aktober oant en mei trettjin desimber	De tentoanstelling is te sjen fan njoggentjin oktober oant en mei trettjin desimber.
dyn eks hat ek al wer wat oan it hantsje	Dyn eks hat ek al wer wat oan 't hantsje.
ik fiel my mislik	Ik fiel my mislik.
soerkoal is se lang hâldber sûnder dat der in konservearemiddel oan te pas komt	Soerkoal is lang hâldber sonder dat der in konservearringsmiddel oan te pas komt.
dêr binne ek foarskeafer trú	Der binne ek foarskriften dêr't hannelers oan foldwaan moatte.
apteek	Apteek.
ik fiel my mislik	Ik fiel my mislik.
moat ik de heit fan de breit om de hân fan syn dochter freegje tkta	Moat ik de heit fan de breid om de hân fan syn dochter freegje?
dat hoch dat hoegde ik syn eigen jongen no net oan e noas te hingjen cceeec	Dat hoegde ik syn eigen jonge no net oan de noas te hingjen.
meitsje dat fet	Meitsje dat fet.
allinne út betroubare wittenskiplike feiten kin men konklúzjes lûke	Allinne út betroubere wittenskiplike feiten kin men konklúzjes lûke.
yn de jierren sechstich hat er tûzenen foarwerpen fûn út de âlde stientiid  j	Yn de jierren sechstich hat er tûzenen foarwerpen fûn út de âlde stientiid.
pake hie him mei syn hiele húshâlding yn it rûefke wenne	Pake hie mei syn hiele húshâlding yn it roefke wenne.
oer  oantallen slachtoffer is noch neat bekend	Oer oantallen slachtoffers is noch neat bekend.
hurde wurden binne dat en sa wie ik doe ek	Hurde wurden binne dat, en sa wie ik doe ek.
meidoan meidwaan oan de tocht kin allinne nei ynskriuwing foar ôf	Meidwaan oan 'e tocht kin allinnich nei ynskriuwing foarôf.
tsjerkhôf	Tsjerkhôf.
as er mei grut gemak ingels praat nim ik him oan	As er mei grut gemak Ingelsk praat, nim ik him oan.
dy man is sa ûnnoazel dy litten fan alles wiis meitsje nn	Dy man is sa ûnnoazel, dy lit him fan alles wiismeitsje.
moentenacht reizgje wy ôf nei it grykse eilân kreeta mmm	Moarntenacht reizgje wy ôf nei it Grykske eilân Kreta.
hja lei yn e keês en stoarre yn e blauwe kom fan e hibel nn	Hja lei yn it gers en stoarre yn de blauwe kom fan de himel.
wat stiet der op it boadskippelistke	Wat stiet der op it boadskiplistke?
kinst dyn auto hear mearne kwyt	Kinst de auto hjir nearne kwyt.
hja ha net brocge mide liter toch har anins wan	Hja hat sels weromskreaun, meastal lit se dat troch har amtners dwaan.
ik wol tsien jier hurd wurkje en jil fertsjenje en dan op wrâldreis gean	Ik wol tsien jier hurd wurkje en jild fertsjinje en dan op wrâldreis gean.
dat fyn ik echt	Dat fyn ik echt.
hy is by it wiikwei dy twa handigen net by dy twa handige net by elkoar	Hy is by it wiif wei, dy twa handigen net byinoar.
ferpleats de rigel trije rigels omheech s	Ferpleats de rigel trije rigels omheech.
de bestudearre mei toaren wurde deiedweidich taaljochte mei foarrieben	De bestudearre metoaden wurde wiidweidich taljochte mei foarbylden.
hoe kom ik fan hjir nei emyljants kk	Hoe kom ik fan hjir nei Emiel Jans?
dey oanholdende warskôgingen waard him de wacht oansein	Nei oanhâldende warskôgingen waard him de wacht oansein.
	Ik wie wer op bekend terrein, ik hie wer fêstegrûn ûnder de fuotten.
ik wit net oft hja wol komt	Ik wit net oft hja wol komt.
de toanielferiening koe it moaie bedrach fan tsientûzen euro yn de boeken opskriuwe	De toanielferiening koe it moaie bedrach fan tsientûzen euro yn de boeken opskriuwe.
alle spilers hawwe har bêst te dien	Alle spilers hawwe har bêst dien.
de ynterfjower moatte trochfreegje om efter de miening fan weropbislan	De ynterviewer moat trochfreegje om efter de miening fan de respondint te kommen.
ik haw dochs noch fjouwer en in heal oere ûnderweis west hc	Ik ha dochs noch fjouwer en in heal oere ûnderweis west.
der is in fêste deiyndieling en der binne beskate groepsregels	Der is in fêste deiyndieling en der binne beskate groepsregels.
ge sweargefoelich en fiel heel gau at der wat te rêden is r	Ik bin tige sfeargefoelich en fiel heel gau oft der wat te rêden is.
asto har oertsjûgje kinst om werom te kommen sil ik dy ivich tankber wêze	Asto har oertsjûgje kinst om werom te kommen, sil ik dy ivich tankber wêze.
it byhâlden fan e deiboek is wat dat al iuwen in iuwen dien wurdt	It byhâlden fan in deiboek is wat dat al iuwen en iuwen dien wurdt.
it parkoer it perkoers is troch de iuw hinne hiel wat kearen wizene	It parkoers is troch de iuw hinne hiel wat kearen wizige.
njoggen jier lyn bin ik út armenieë nei nederlân kommen	Njoggen jier lyn bin ik út Armenië nei Nederlân kommen.
ik ha hjir de heale nacht op dy sitte te wachtsjen k	Ik ha hjir de heale nacht op dy sitten te wachtsjen.
de trije leden fan de wurkgroep binne diplomearre moonmer	Trije leden fan dy wurkgroep binne diplomearre moolner.
soe ik it rulje kinne   ee	Soe ik it ruilje kinne?
ik fiel my goed	Ik fiel my goed.
der is in fêste deiyndieling en der binne beskate groepfregenls s	Der is in fêste deiyndieling en der binne beskate groepsregels.
it leveret jo foar it hiele bedriuw in rendemintsferbettering op	It leveret jo foar it hiele bedriuw in rindemintsferbettering op.
binne sy hjir bern	Binne sy jim bern?
dizze túngstoel kin ek levere wurde yn wyt en it brún s	Dizze túnstoel kin ek levere wurde yn it wyt en it brún.
hja frege him om har hannen tusken sines op te waarmjen	Hja frege him om har hannen tusken sines op te waarmjen.
ik begjin hjir woartel te sjitten	Ik begjin hjir woartel te sjitten.
ik bin tiiget swear gefoelich enk fiel hiel gau oft der wat t oar te rêden is	Ik bin tige sfeargefoelich en fiel heel gau oft der wat te rêden is.
de wersier wie yn oere net te be rikken d	De webside wie in oere net te berikken.
dizze deiekspurzje bringt jo nei de súdlike kant fan de kosttablanka	Dizze dei-ekskurzje bringt jo nei de súdlike kant fan 'e Costa Blanca.
it like in ivich heit te duorjen en de pine wie net út te hâlden	It like in ivichheid te duorjen en de pine wie net út te hâlden.
de sporter sette troch en hie efternei al hiel gjin spyt	De sporter sette troch en hie efterôf alhiel gjin spyt.
ik hie gjin aan fan wêrtert frommes it oe rie nn	Ik hie der gjin aan fan wêr't it frommes it oer hie.
de iene seuit sus en de oare seit sa	De iene seit sus en de oare seit sa.
nei in swiere training haw ik gjin sin oan iten en wurd ik mislik	Nei in swiere training ha ik gjin sin oan iten en wurd ik mislik.
hy moat ûnderwiles en flinkein yn de fyftich wêze	Hy moat ûnderwilens in flink ein yn de fyftich wêze.
wy moatte noch eefkes geduld dwaan want wy kinne dêr earst oare moanne terjochte	Wy moatte noch eefkes geduld dwaan, want we kinne dêr earst oare moanne terjochte.
ast net ien skiep oer de daam is komme der mear	As der ien skiep oer de daam is, komme der mear.
hast asto it dit wykein oan tiid of leaaver in oare kean	Hasto it dit wykein oan tiid of leaver in oare kear?
	Syn passy foar hûnesport makke dat er in kompleet djipfriesmiel foar hûnen ûntwikkele.
wy wolle de hotelkosten net betelje	Dy wolle de hotelkosten net betelje.
der is in soad ôfwekseling yn de beweging dyt makke wurdt	Der is in soad ôfwikseling yn de bewegingen dy't makke wurde.
under it lange slûke en glêde dekhierd meit it sêfte ûnderhier n	Under it lange, slûke en glêde dekhier leit it sêfte ûnderhier.
dizze deiekskurzje bringt jo nei de súdlike kant fan de kosta blanka	Dizze dei-ekskurzje bringt jo nei de súdlike kant fan 'e Costa Blanca.
de sjirurch makke ynsneingen boppe de hiergrins en om it ear hinne	De sjirurch makke ynsnijingen boppe de hiergrins en om it ear hinne.
feroardielje jimmen my mar mar ik ferslok jimme allegearre	Feroardielje jimme my mar, mar ik ferflok jimme allegearre.
foar moarn hawwe wy ús opjûn om te hyns te riden op it strân	Foar moarn hawwe wy ús opjûn om te hynsteriden op it strân.
belje wytse	Belje Wytse.
syn fleanmesine lâne om tsien oer tsienen	Syn fleanmasine lâne om tsien oer tsienen.
kop oef munt	Kop of munt.
it spitige is dat ik de ynformaasje sels byinoar fandelje moatten ha	It spitige is dat ik dy ynformaasje sels byinoar fandelje moatten haw.
de bewenners krije fjouwer wiken de tiid om in nij ûnderkommen te sykjen	De bewenners krije fjouwer wiken de tiid om in nij ûnderkommen te sykjen.
us systeem fan regels en sanksjes is trochsichtich foar ús learlingen	Us systeem fan regels en sanksjes is trochsichtich foar ús learlingen.
is men wat âlder man kin men san drege siteuaasje better ferneare	Is men wat âlder, dan kin men sa'n drege sitewaasje better ferneare.
yn e tuskentiid sille jo de auto stean litte moatte	Yn 'e tuskentiid sille jo de auto stean litte moatte.
de fakbûnen hawwe de efterban ynformearre oer it lêste oanbod fan de wurkjouwers	De fakbûnen hawwe de efterbân ynformearre oer it lêste oanbod fan de wurkjouwers.
de grutste drokte wurdt ferwacht op freedtejûn en saterdeitemoarn	De grutste drokte wurdt ferwachte op freedtejûn en saterdeitemoarn.
de jonge iet oan syn fjirde allinnich bôle mei sûker	De jonge iet oant syn fjirde allinnich bôle mei sûker.
kinst hjir noch echt tsjusterbelibje en nachts kinst in hiel soad stjerren sjen	Kinst hjir noch echt tsjuster belibje en nachts kinst in heel soad stjerren sjen.
ik wit noch near net wat ik oan him ha	Ik wit noch nea net wat ik oan him haw.
nei de lêste tonnen wurdt wachte op it aplaus	Nei de lêste toanen wurdt wachte op it applaus.
de tydlike skoalle waard freed yn rjochte mei help fan san tritich âlden	De tydlike skoalle waard freed ynrjochte mei help fan sa'n tritich âlden.
ik warskôgje dy jonkje	Ik warskôgje dy, jonkje!
heal febrewaris is de bêste tiid om de skea yn kaart te bringen	Heal febrewaris is de bêste tiid om de skea yn kaart te bringen.
gean santjin nei ûnderen ta	Gean santjin nei ûnderen ta.
de frou is feroardiele foar it yn brân stekken fan it hús	De frou is feroardiele foar it yn brân stekken fan it hûs.
yn readebiten spinaazje en spitskoal sit in protte yn traat	Yn reade biten, spinaazje en spitskoal sit in protte nitraat.
no en dan is it dreech realiteit fan fantesite ûnder skieden	No en dan is it dreech realiteit fan fantasy te ûnderskieden.
in supermerk hat by fersin fryske talige postoers ophongen yn de stêd grins	In supermerk hat by fersin Frysktalige posters ophongen yn de stêd Grins.
sil ik frisk kieze	Sil ik Frysk kieze?
as sparjende moet men jim wol sêd ite	Al sparjende moet men jin wol sêd ite.
ik hâld fan dy	Ik hâld fan dy.
ofrûne saneontemiddei hat in grut bart fan it doarp in skoftlang sonder stroom sitten	Ofrûne sneontemiddei hat in grut part fan it doarp in skoftlang sonder stroom sitten.
it sikehûs sil net mear ynset wurde foar akute sjiriurgysk yngrepen	It sikehús sil net mear ynset wurde foar akute sjirurgyske yngrepen.
fan natuere binne deileegjes giel of oranje	Fan natuere binne deileeljes giel of oranje.
hy die mei oan in fersetsaksje en foel yn hannen fan de plysje	Hy die mei oan in fersetsaksje en foel yn hannen fan de polysje.
hy besiket om troch it rút te klimmen	Hy besiket om troch it rút te klimmen.
earst tocht de frou dat har man wol wer opdûke soe	Earst tocht de frou dat har man wol wer opdûke soe.
al soene se my deadwaan ik wit it net	Al soene se my dea dwaan, ik wit it net.
it fakbûn hie ôfsprake makke dat de reorganisaasje stap foar stap gean soe	It fakbûn hie ôfspraken makke dat de reorganisaasje stap foar stap gean soe.
fan moarns ôf kinne jo hjir derjochte foar in kop kofje	Fan moarns ôf kinne jo hjir terjochte foar in kop kofje.
ik begryp it eins net sa goed	Ik begryp it eins net sa goed.
mei fjouwer man foarmen se in ketting om my nei boppen ta te lûken	Mei fjouwer man foarmen se in ketting om my nei boppen ta te lûken.
de húshâlding telde sân bern op seis jonges en ien famke	De húshâlding telde sân bern, seis jonges en ien famke.
wy knipperje middeis heel eagen want dit jetlak slacht sonder genede ta	Wy knipperje middeis heel even want de jetlag slacht sonder genede ta.
it is net de earste kear dat frankryk it opnimt tsjin it ingelsk	It is net de earste kear dat Frankryk it opnimt tsjin it Ingelsk.
de kat wie heel meage doet er yn itasyl kaam	De kat wie heel meager doe't er yn it asyl kaam.
minsken wurte in fjurwurkfrij ûnderkommen oanbearn foar de âldtjiersenacht	Minsken wurdt in fjoerwurkfrij ûnderkommen oanbean foar de âldjiersnacht.
hawwe jo in bôleplankje foar ús	Hawwe jo in bôleplankje foar ús?
dêr sakket it wetter de boai him yn en wurdt it op natuerlike wize filtere	Dêr sakket it wetter de boaiem yn en wurdt it op natuerlike wize filtere.
syn arcgewaasje wie ferdwûn en ik de wurgens fan de sneintemoarn	Syn argewaasje wie ferdwûn en ek de wurgens fan de sneontemoarn.
hy besocht yn de tritige jierren in bestean op te bouwen as skriuwer	Hy besocht yn de tritiger jierren in bestean op te bouwen as skriuwer.
sjong in ferske foar my	Sjong in ferske foar my.
nei de brân waard rekken holden mei moed wil benammen omdat der knallen heat wienen	Nei de brân waard rekken holden mei moedwil, benammen omdat der knallen heard wienen.
earder naam chris sneons blom foar har mei	Earder naam Chris sneons blommen foar har mei.
it hat ús hjir tige goed foldien en wy komme wis noch ris werom	It hat ús hjir tige goed foldien en wy komme wis noch ris werom.
bestân iepenje	Bestân iepenje.
yn it kamp hinget oeral de reek fan houtfjurkes	Yn it kamp hinget oeral de reek fan houtfjurkes.
set de timer foar it sieden fan hen ôfi	Set de timer foar it sieden fan in aai.
ik seach harren efternei wylst ja hân yn hân troch de poarte giene a rh	Ik seach harren efternei wylst hja hân yn hân troch de poarte giene.
wy mocte der even mein oer de skouders ûndersette	We moatte der even mei-inoar de skouders ûnder sette.
syn fel bloeit o blondes i yn de mose fol	Syn fel bleau wyt, al brânde de sinne noch sa fûl.
selektearje it foarige	Selektearje it foarige.
as jo it formulie ferstjoerd haww krije jo in aktivearingslink t   t	At jo it formulier ferstjoerd hawwe, krijge jo in aktivearringslink.
gean nei it begjin fan de sin	Gean nei it begjin fan de sin.
helenbear arei net takan	Hy is al in pear dagen net op skoalle kaam.
det fyskedofe har wol warmarleem	It Frysk moat fansels wol waarboarge wurde.
ik kin sneodn de hiele dei	Ik kin saterdei de hiele dei.
as se foar de goede saak yn in sel sitte moat toe dan mar	At se foar de goeie saak yn in sel sitte moat, toe dan mar.
sa leafde waad allegerús bydrage ta ferbettering fan de wrâld	Sa leverje wij allegearre ús bydrage ta ferbettering fan de wrâld.
dat sil yn de rin fan dit progamma bliken dwaan	Dat sil yn de rin fan dit programma bliken dwaan.
de bestjoerder is mei ûnbekende ferwûnings nei de oerdocht	De bestjoerder is mei ûnbekende ferwûnings nei it sikehús brocht.
de tongersdeitenachts begûn it te reinen en dat holdt op freedtemiddeis pas op	De tongersdeitenachts begûn it te reinen en dat hold op freedtemiddei pas op.
stjoer ans like boadskip wat dinkt dy fan fanlejûn	Stjoer Angelique in boadskip: Wat tinkt dy fan fan 'e jûn?
ik sjoech him leaver fan efteron fan foaren	Ik sjoch him leaver fan efteren as fan foaren.
hy hat in grut bren om	Hy hat in grut burd en in snor.
wy gean noch efkes thús oan en dêr stiet koas mei twa maten  ehcfcfh ch cfhch g	Wy giene noch efkes thús oan en dêr siet Koos mei twa maten.
wat fr rinde wrds fekeear reke joop in hegel boem	Wa't trappearre wurdt, kin rekkenje op in hege boete.
de parkearplakken op it winkelpark stiene grâld folle autos pken	De parkearplakken op it winkelpark steane grôtfol auto's.
de binne wat twa wa liler âld	Dêr binne der mar twa fan op de hiele wrâld.
ik leau dat ik him ferkeard begrepen ha	Ik leau dat ik him ferkeard begrepen haw.
do witst hoe gruts oft ik wie op myn prachtich bosk hier t	Do witst hoe grutsk oft ik wie op myn prachtich bosk hier.
ik kin him fan de inkelde kearen dat we efkes meinoar praten	Ik ken him fan de inkelde kearen dat we efkes mei-inoar praten.
dit merk stiet foar orizjinele ekskursive famkesglean	Dit merk stiet foar orizjinele, eksklusive famkesklean.
de omset yn hierfersoarging is hir earst as matân	De omset yn hierfersoarging is yn de earste seis moannen tanommen.
ik kin de jonge ek gjin tel út it eachfer lieaze	Ik kin dy jonge ek gjin tel út it each ferlieze!
bist hjir allinnich hinne kommen	Bist hjir allinne hinne kommen?
dyt syn gat baarnt moat op e blierren sitte	Dy't syn gat baarnt, moat op 'e blierren sitte.
hoe faak deis draaie jo de kraan net iepen	Hoe faak deis draaie jo de kraan net iepen?
foar en tsjinstanders reagearje fûlop de buoikat	Foar- en tsjinstanners reagearje fûl op de boykot.
it taal ynbraken is mei de krystdagen twa kear sa heech as gewoanwei	It tal ynbraken is mei de krystdagen twa kear sa heech as gewoanwei.
it programma wie fan twa oere oant kertier foar fjouweren	It programma wie fan twa oere oant kertier foar fjouweren.
it swit rûne moede mey ne	It swit rûn him oer de wangen en de rêch.
ik soe de grif neich my ynstimd hawwe as se my dat freegjenen	Ik soe der grif net mei ynstimd hawwe as se my dat frege hiene.
myn namme is hopkens	Myn namme is Hopkins.
foar in graazje stie in man yn overol de hannen swart	Foar in garaazje stie in man yn in overal, de hannen swart.
hy lit him der neat oangelegen litpe	Hy lit him der neat oan gelegen lizze.
hy lit him der net oangelegen lizze	Hy lit him der neat oan gelegen lizze.
it is se al in kear bard dat der mar ien besikere wie	It is al in kear bard dat der mar ien besiker wie.
in pear jier lyn begong er foar in fansels as ûnaffanklik bedriuwskundich adviseur	In pear jier ferlyn begûn er foar himsels as ûnôfhinklik bedriuwskundich adviseur.
meiinoar hellen se alles út it hûs en makkeweit skjin	Mei-inoar hellen se alles út it hûs en makken it skjin.
ik ha mar ien besteld dy sillek tiisdeitemoarn oer in wike ophelje	Ik haw mar ien besteld, dy sil ik tiisdeitemoarn oer in wike ophelje.
wêr moat it mey dy hinne	Wêr moat it mei dy hinne?
elk foarwerp draacht de spoaren fan syn broeker	Elk foarwerp draacht de spoaren fan syn brûker.
dit opfangsintrum foar re sylsikers leit oan de râne fan it kunderbosk	Dit opfangsintrum foar asylsikers leit oan de râne fan it Kúnderbosk.
hy hie in baan tronk an dolier en hr delle skriuwe ôf	Hy hie in baan, dronk amper of neat en hy betelle syn skulden ôf.
do hiest al in geweldige kondysje	Doe hiest al in geweldige kondysje.
pia skop	Bioskoop.
hy krige oan de ôffan am me dy dyd earderter for nûet	Hy krige oan de ein fan moandeitemiddei te hearren dat er fuort moast.
de plysje hat it wapen yn it hûs fûn en yn beslach naam	De polysje hat it wapen yn it hús fûn en yn beslach naam.
de heakleur stiet by de berte noch net fêst	De hierkleur stiet by de berte noch net fêst.
nei fjouwer oere nachts meie der gjin minsken mear yn litten wurde	Nei fjouwer oere nachts meie der gjin minsken mear yn litten wurde.
